,lineId,name,team,position,icetime,iceTimeRank,games_played,situation,Player1,Player2,Player3
2551,847738084815548482157,Cuylle-Brodzinski-Kakko,NYR,line,6060,74,16,5on5,Cuylle,Brodzinski,Kakko
2552,847840984800038480880,Lauko-Boqvist-Richard,BOS,line,603,10,2,5on5,Lauko,Boqvist,Richard
2553,847646884780578478856,Joshua-Miller-Garland,VAN,line,3719,252,21,5on5,Joshua,Miller,Garland
2556,847464184788738481533,Zegras-Henrique-Terry,ANA,line,2266,19,6,5on5,Zegras,Henrique,Terry
2557,847518484763898482109,Lafreniere-Trocheck-Kreider,NYR,line,840,214,21,5on5,Lafreniere,Trocheck,Kreider
2558,847456484773538477426,Motte-Paul-Stamkos,TBL,line,809,74,6,5on5,Motte,Paul,Stamkos
2562,847403484795208480980,Maroon-Dewar-Duhaime,MIN,line,4411,230,24,5on5,Maroon,Dewar,Duhaime
2563,847942384800748482705,Nylander-Sillinger-Texier,CBJ,line,4340,90,13,5on5,Nylander,Sillinger,Texier
2565,847519384768268479293,Tatar-Gourde-Tanev,SEA,line,1460,247,24,5on5,Tatar,Gourde,Tanev
2566,847841484794078479415,Bratt-Mcleod-Meier,NJD,line,680,65,5,5on5,Bratt,Mcleod,Meier
2569,847061084775018479999,Parise-Mittelstadt-Nichushkin,COL,line,1236,43,5,5on5,Parise,Mittelstadt,Nichushkin
2570,847418984764428478569,Nieto-Acciari-Eller,PIT,line,829,73,10,5on5,Nieto,Acciari,Eller
2571,847646984769818477497,Armia-Monahan-Anderson,MTL,line,1196,55,6,5on5,Armia,Monahan,Anderson
2575,847344984768788481522,Girgensons-Krebs-Okposo,BUF,line,5690,146,23,5on5,Girgensons,Krebs,Okposo
2576,847516984764548477934,Kane-Draisaitl-Nugent-Hopkins,EDM,line,928,128,8,5on5,Kane,Draisaitl,Nugent-Hopkins
2577,847514984752208478493,Johansson-Eriksson Ek-Foligno,MIN,line,943,48,5,5on5,Johansson,Eriksson Ek,Foligno
2578,847744484792938479977,Tanev-Yamamoto-Burakovsky,SEA,line,939,27,4,5on5,Tanev,Yamamoto,Burakovsky
2581,847534384775118479359,Malenstyn-Dowd-Mantha,WSH,line,1308,195,15,5on5,Malenstyn,Dowd,Mantha
2583,847639384788318480185,Cousins-Stenlund-Luostarinen,FLA,line,4470,259,28,5on5,Cousins,Stenlund,Luostarinen
2586,847341984779568483505,Marchand-Poitras-Pastrnak,BOS,line,955,274,17,5on5,Marchand,Poitras,Pastrnak
2587,847572684794158482110,Mercer-Mcleod-Toffoli,NJD,line,885,126,9,5on5,Mercer,Mcleod,Toffoli
2590,847692584784388482146,Novak-Sissons-Evangelista,NSH,line,665,314,17,5on5,Novak,Sissons,Evangelista
2592,847847484826998483431,Crouse-Cooley-Guenther,ARI,line,11579,64,21,5on5,Crouse,Cooley,Guenther
2595,847641984773928481601,Fasching-Pageau-Holmstrom,NYI,line,2357,95,9,5on5,Fasching,Pageau,Holmstrom
2597,847578484784138481522,Greenway-Krebs-Skinner,BUF,line,3521,68,12,5on5,Greenway,Krebs,Skinner
2598,847810484802818481543,Blais-Alexandrov-Toropchenko,STL,line,1480,44,7,5on5,Blais,Alexandrov,Toropchenko
